ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,timeCoverage,geoInfoUrl,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2020,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
11,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",204,Benin,5,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2015,2015,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article31",,E: Estimated data
12,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",208,Denmark,4,154,Northern Europe,Country,9.326571283,56.03829721,DNK,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,1970,1970,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article44",,E: Estimated data
13,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",214,Dominican Republic,5,29,Caribbean,Country,-70.49847576,18.89832088,DOM,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2004,2004,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article45",,E: Estimated data
14,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",218,Ecuador,5,5,South America,Country,-78.37005241,-1.447785891,ECU,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2004,2004,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article46",,E: Estimated data
15,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",222,El Salvador,5,13,Central America,Country,-88.86862995,13.73603564,SLV,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2011,2011,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article47",,E: Estimated data
16,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",231,Ethiopia,5,14,Eastern Africa,Country,39.63505296,8.631223181,ETH,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2008,2008,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article49",,E: Estimated data
17,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",233,Estonia,4,154,Northern Europe,Country,25.84093481,58.68487172,EST,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2000,2000,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article48",,E: Estimated data
18,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",24,Angola,5,17,Middle Africa,Country,17.57817062,-12.33724746,AGO,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2002,2002,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article21",,E: Estimated data
19,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",242,Fiji,4,54,Melanesia,Country,177.9660884,-17.83301566,FJI,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2018,2018,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article49",,E: Estimated data
20,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",246,Finland,4,154,Northern Europe,Country,23.308447,61.91586738,FIN,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,1951,1951,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article50",,E: Estimated data
21,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",250,France,4,155,Western Europe,Country,2.457288129,46.62660861,FRA,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,1978,1978,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article51",,E: Estimated data
22,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",268,Georgia,4,145,Western Asia,Country,43.3713615,42.04813028,GEO,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,1999,1999,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article52",,E: Estimated data
23,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",276,Germany,4,155,Western Europe,Country,10.3806066,51.08862743,DEU,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2005,2005,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article53",,E: Estimated data
24,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",28,Antigua and Barbuda,5,29,Caribbean,Country,-61.7999755,17.07761471,ATG,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2004,2004,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article22",,E: Estimated data
25,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",288,Ghana,5,11,Western Africa,Country,-1.205623522,7.964825185,GHA,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2019,2019,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article54",,E: Estimated data
26,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",300,Greece,4,39,Southern Europe,Country,22.58307827,39.47301873,GRC,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,1986,1986,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article54",,E: Estimated data
27,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",31,Azerbaijan,4,145,Western Asia,Country,50.01064725,40.39229544,AZE,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2005,2005,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article27",,E: Estimated data
28,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",32,Argentina,5,5,South America,Country,-65.14563274,-35.19446255,ARG,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2016,2016,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting. Similar FOI law/policy adopted in 2004.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article23",,E: Estimated data
29,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",320,Guatemala,5,13,Central America,Country,-91.2312746,15.00273719,GTM,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2008,2008,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article55",,E: Estimated data
30,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",328,Guyana,5,5,South America,Country,-58.97322037,4.788012784,GUY,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2013,2013,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article57",,E: Estimated data
31,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",340,Honduras,5,13,Central America,Country,-86.59974381,14.82243161,HND,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2006,2006,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article58",,E: Estimated data
