Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",84,Belize,2018,0.44262,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",90,Solomon Islands,2018,4.69755,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",104,Myanmar,2018,14.21234,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",108,Burundi,2018,1.60609,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",112,Belarus,2018,3.25725,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",116,Cambodia,2018,14.1351,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",120,Cameroon,2018,9.83383,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",132,Cabo Verde,2018,1.96802,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",140,Central African Republic,2018,2.41587,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",144,Sri Lanka,2018,7.15864,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",148,Chad,2018,2.21749,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",156,China,2018,23.31784,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",170,Colombia,2018,8.18952,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",174,Comoros,2018,5.91078,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",178,Congo,2018,6.36215,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",180,Democratic Republic of the Congo,2018,4.9237,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",184,Cook Islands,2018,0.30759,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",188,Costa Rica,2018,1.39461,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",192,Cuba,2018,1.38363,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",204,Benin,2018,2.35283,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",212,Dominica,2018,0.31997,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",214,Dominican Republic,2018,0.93941,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",218,Ecuador,2018,3.0884,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",222,El Salvador,2018,0.76494,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",226,Equatorial Guinea,2018,0.315,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",231,Ethiopia,2018,7.08456,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",232,Eritrea,2018,1.27338,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",242,Fiji,2018,6.42902,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",262,Djibouti,2018,1.41543,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",266,Gabon,2018,2.07631,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",268,Georgia,2018,5.54286,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",270,Gambia,2018,2.0029,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",275,State of Palestine,2018,5.82345,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",288,Ghana,2018,9.89602,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",296,Kiribati,2018,3.59631,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",308,Grenada,2018,0.12634,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",320,Guatemala,2018,0.58027,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",324,Guinea,2018,4.27252,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",328,Guyana,2018,1.07126,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",332,Haiti,2018,4.54443,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",340,Honduras,2018,0.67911,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",356,India,2018,20.00365,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",360,Indonesia,2018,54.94774,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",364,Iran (Islamic Republic of),2018,7.1228,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",368,Iraq,2018,6.58668,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",384,Côte d'Ivoire,2018,5.99958,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",388,Jamaica,2018,1.3522,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",398,Kazakhstan,2018,4.38522,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",400,Jordan,2018,12.75747,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",404,Kenya,2018,7.94847,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",408,Democratic People's Republic of Korea,2018,0.15208,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",417,Kyrgyzstan,2018,2.91824,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",418,Lao People's Democratic Republic,2018,11.00661,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",422,Lebanon,2018,4.21333,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",426,Lesotho,2018,0.36428,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",430,Liberia,2018,0.65144,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",434,Libya,2018,1.70083,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
