Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail, Source, Nature, Units,[Age],[Reporting Type],[Sex]
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),31,Azerbaijan,2016,2228,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),31,Azerbaijan,2016,3830,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),32,Argentina,2016,4093,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),32,Argentina,2016,3257,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),32,Argentina,2016,7350,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),36,Australia,2016,447,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),36,Australia,2016,1005,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),36,Australia,2016,558,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),40,Austria,2016,142,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),40,Austria,2016,112,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),40,Austria,2016,254,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),44,Bahamas,2016,47,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),44,Bahamas,2016,21,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),44,Bahamas,2016,26,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),48,Bahrain,2016,65,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),48,Bahrain,2016,72,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),48,Bahrain,2016,137,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),50,Bangladesh,2016,83163,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),50,Bangladesh,2016,45408,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),50,Bangladesh,2016,37755,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),51,Armenia,2016,523,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),51,Armenia,2016,305,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),51,Armenia,2016,218,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),52,Barbados,2016,16,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),52,Barbados,2016,37,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),52,Barbados,2016,21,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),56,Belgium,2016,222,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),56,Belgium,2016,169,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),56,Belgium,2016,391,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),64,Bhutan,2016,190,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),64,Bhutan,2016,342,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),64,Bhutan,2016,152,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),68,Bolivia (Plurinational State of),2016,3310,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),68,Bolivia (Plurinational State of),2016,2556,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),68,Bolivia (Plurinational State of),2016,5866,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),70,Bosnia and Herzegovina,2016,67,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),70,Bosnia and Herzegovina,2016,153,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),70,Bosnia and Herzegovina,2016,86,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),72,Botswana,2016,1818,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),72,Botswana,2016,1012,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),72,Botswana,2016,806,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),76,Brazil,2016,24481,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),76,Brazil,2016,18582,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),76,Brazil,2016,43063,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),84,Belize,2016,98,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),84,Belize,2016,54,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),84,Belize,2016,44,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),90,Solomon Islands,2016,371,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),90,Solomon Islands,2016,209,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),90,Solomon Islands,2016,162,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),96,Brunei Darussalam,2016,28,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),96,Brunei Darussalam,2016,63,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),96,Brunei Darussalam,2016,35,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),100,Bulgaria,2016,425,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),100,Bulgaria,2016,241,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),100,Bulgaria,2016,184,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),104,Myanmar,2016,36987,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),104,Myanmar,2016,20724,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),104,Myanmar,2016,16263,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),108,Burundi,2016,8070,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),108,Burundi,2016,10288,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),108,Burundi,2016,18358,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),112,Belarus,2016,141,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),112,Belarus,2016,330,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),112,Belarus,2016,189,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),116,Cambodia,2016,9579,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),116,Cambodia,2016,5479,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),116,Cambodia,2016,4100,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),120,Cameroon,2016,46408,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),120,Cameroon,2016,25715,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),120,Cameroon,2016,20693,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),124,Canada,2016,953,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),124,Canada,2016,791,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),124,Canada,2016,1744,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),132,Cabo Verde,2016,107,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),132,Cabo Verde,2016,85,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),132,Cabo Verde,2016,192,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),140,Central African Republic,2016,6511,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),140,Central African Republic,2016,14378,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),140,Central African Republic,2016,7867,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),144,Sri Lanka,2016,1073,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),144,Sri Lanka,2016,2431,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),144,Sri Lanka,2016,1358,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),148,Chad,2016,20647,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),148,Chad,2016,46075,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),148,Chad,2016,25428,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),152,Chile,2016,863,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),152,Chile,2016,703,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),152,Chile,2016,1566,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),156,China,2016,64470,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),156,China,2016,83441,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),156,China,2016,147911,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),170,Colombia,2016,5504,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),170,Colombia,2016,9664,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),170,Colombia,2016,4160,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),174,Comoros,2016,619,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),174,Comoros,2016,1402,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),174,Comoros,2016,783,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),178,Congo,2016,2819,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),178,Congo,2016,6373,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),178,Congo,2016,3554,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),180,Democratic Republic of the Congo,2016,129155,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),180,Democratic Republic of the Congo,2016,105427,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),180,Democratic Republic of the Congo,2016,234582,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),184,Cook Islands,2016,2,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),184,Cook Islands,2016,1,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),184,Cook Islands,2016,1,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),188,Costa Rica,2016,549,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),188,Costa Rica,2016,245,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
