Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Observation Status,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),64,Bhutan,2015,1.4,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),68,Bolivia (Plurinational State of),2015,1.2,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),70,Bosnia and Herzegovina,2015,2.8,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),72,Botswana,2015,2.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),76,Brazil,2015,3.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),84,Belize,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),86,British Indian Ocean Territory,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),90,Solomon Islands,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),92,British Virgin Islands,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),96,Brunei Darussalam,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),100,Bulgaria,2015,41.6,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),104,Myanmar,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),108,Burundi,2015,10.2,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),112,Belarus,2015,4.8,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),116,Cambodia,2015,1.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),120,Cameroon,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),124,Canada,2015,3.7,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),132,Cabo Verde,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),136,Cayman Islands,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),140,Central African Republic,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),144,Sri Lanka,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),148,Chad,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),152,Chile,2015,9.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),156,China,2015,43.2,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),162,Christmas Island,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),166,Cocos (Keeling) Islands,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),170,Colombia,2015,1.8,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),174,Comoros,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),175,Mayotte,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),178,Congo,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),180,Democratic Republic of the Congo,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),184,Cook Islands,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),188,Costa Rica,2015,5.5,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),191,Croatia,2015,1.5,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),192,Cuba,2015,23.9,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),196,Cyprus,2015,31.7,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),203,Czechia,2015,24.3,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),204,Benin,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),208,Denmark,2015,22.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),212,Dominica,2015,10.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),214,Dominican Republic,2015,50.3,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),218,Ecuador,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),222,El Salvador,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),226,Equatorial Guinea,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),231,Ethiopia,2015,31.5,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),232,Eritrea,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),233,Estonia,2015,17.1,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),234,Faroe Islands,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),238,Falkland Islands (Malvinas),2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),239,South Georgia and the South Sandwich Islands,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),242,Fiji,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),246,Finland,2015,15.6,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),248,Åland Islands,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),250,France,2015,24.6,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),254,French Guiana,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),258,French Polynesia,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),260,French Southern Territories,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),262,Djibouti,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),266,Gabon,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),268,Georgia,2015,5.9,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),270,Gambia,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),275,State of Palestine,2015,41.5,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),276,Germany,2015,33.9,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),288,Ghana,2015,6.3,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),292,Gibraltar,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),296,Kiribati,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),300,Greece,2015,20.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),304,Greenland,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),308,Grenada,2015,7.1,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),312,Guadeloupe,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),316,Guam,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),320,Guatemala,2015,5.7,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),324,Guinea,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
