Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Location,Nature,Reporting Type,Units,2010,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",32,Argentina,RURAL,E,G,PERCENT,7.68874,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",32,Argentina,URBAN,E,G,PERCENT,1.27534,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",51,Armenia,ALLAREA,E,G,PERCENT,0.02363,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",51,Armenia,RURAL,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",51,Armenia,URBAN,E,G,PERCENT,0.03725,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",533,Aruba,ALLAREA,E,G,PERCENT,1.40261,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",36,Australia,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",40,Austria,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",40,Austria,RURAL,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",40,Austria,URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",31,Azerbaijan,ALLAREA,E,G,PERCENT,0.23824,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",31,Azerbaijan,RURAL,E,G,PERCENT,0.31493,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",31,Azerbaijan,URBAN,E,G,PERCENT,0.17134,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",44,Bahamas,ALLAREA,E,G,PERCENT,0.52762,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",48,Bahrain,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",50,Bangladesh,ALLAREA,E,G,PERCENT,6.38949,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",50,Bangladesh,RURAL,E,G,PERCENT,8.31576,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",50,Bangladesh,URBAN,E,G,PERCENT,1.99226,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",52,Barbados,ALLAREA,E,G,PERCENT,0.79318,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",112,Belarus,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",112,Belarus,RURAL,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",112,Belarus,URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",56,Belgium,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",56,Belgium,RURAL,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",56,Belgium,URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",84,Belize,ALLAREA,E,G,PERCENT,2.30542,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",84,Belize,RURAL,E,G,PERCENT,3.41693,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",84,Belize,URBAN,E,G,PERCENT,0.95935,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",204,Benin,ALLAREA,E,G,PERCENT,59.19952,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",204,Benin,RURAL,E,G,PERCENT,79.38485,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",204,Benin,URBAN,E,G,PERCENT,32.54351,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",60,Bermuda,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",60,Bermuda,URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",64,Bhutan,ALLAREA,E,G,PERCENT,3.69419,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",64,Bhutan,RURAL,E,G,PERCENT,4.78752,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",64,Bhutan,URBAN,E,G,PERCENT,1.64514,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",68,Bolivia (Plurinational State of),ALLAREA,E,G,PERCENT,21.09274,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",68,Bolivia (Plurinational State of),RURAL,E,G,PERCENT,48.25585,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",68,Bolivia (Plurinational State of),URBAN,E,G,PERCENT,7.36602,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",535,"Bonaire, Sint Eustatius and Saba",ALLAREA,E,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",70,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,0.02532,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",70,Bosnia and Herzegovina,RURAL,E,G,PERCENT,0.02532,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",70,Bosnia and Herzegovina,URBAN,E,G,PERCENT,0.02532,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",72,Botswana,ALLAREA,E,G,PERCENT,15.13988,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",72,Botswana,RURAL,E,G,PERCENT,36.54457,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",72,Botswana,URBAN,E,G,PERCENT,2.24878,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",76,Brazil,ALLAREA,E,G,PERCENT,4.01602,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",76,Brazil,RURAL,E,G,PERCENT,18.44125,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",76,Brazil,URBAN,E,G,PERCENT,1.33658,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",92,British Virgin Islands,ALLAREA,E,G,PERCENT,0.07387,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",96,Brunei Darussalam,ALLAREA,E,G,PERCENT,2.6,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",100,Bulgaria,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",100,Bulgaria,RURAL,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",100,Bulgaria,URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",854,Burkina Faso,ALLAREA,E,G,PERCENT,56.50968,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",854,Burkina Faso,RURAL,E,G,PERCENT,72.33022,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",854,Burkina Faso,URBAN,E,G,PERCENT,8.10524,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",108,Burundi,ALLAREA,E,G,PERCENT,2.69833,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",108,Burundi,RURAL,E,G,PERCENT,2.87635,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",108,Burundi,URBAN,E,G,PERCENT,1.20356,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",132,Cabo Verde,ALLAREA,E,G,PERCENT,32.12731,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",132,Cabo Verde,RURAL,E,G,PERCENT,49.82618,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",132,Cabo Verde,URBAN,E,G,PERCENT,21.19697,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",116,Cambodia,ALLAREA,E,G,PERCENT,53.57818,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",116,Cambodia,RURAL,E,G,PERCENT,63.12622,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",116,Cambodia,URBAN,E,G,PERCENT,16.07761,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",120,Cameroon,ALLAREA,E,G,PERCENT,7.18834,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",120,Cameroon,RURAL,E,G,PERCENT,13.60401,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",120,Cameroon,URBAN,E,G,PERCENT,1.16066,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",124,Canada,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",124,Canada,RURAL,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",124,Canada,URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",136,Cayman Islands,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",136,Cayman Islands,URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",140,Central African Republic,ALLAREA,E,G,PERCENT,23.96797,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",140,Central African Republic,RURAL,E,G,PERCENT,35.41304,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",140,Central African Republic,URBAN,E,G,PERCENT,5.9943,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",148,Chad,ALLAREA,E,G,PERCENT,68.78196,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",148,Chad,RURAL,E,G,PERCENT,83.32675,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",148,Chad,URBAN,E,G,PERCENT,17.16896,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",152,Chile,ALLAREA,E,G,PERCENT,1.00533,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",152,Chile,RURAL,E,G,PERCENT,1.93731,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",152,Chile,URBAN,E,G,PERCENT,0.86698,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",156,China,ALLAREA,E,G,PERCENT,1.13601,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",156,China,RURAL,E,G,PERCENT,2.08314,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",156,China,URBAN,E,G,PERCENT,0.15909,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",344,"China, Hong Kong Special Administrative Region",ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",344,"China, Hong Kong Special Administrative Region",URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",170,Colombia,ALLAREA,E,G,PERCENT,5.22163,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",170,Colombia,RURAL,E,G,PERCENT,19.20379,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",170,Colombia,URBAN,E,G,PERCENT,1.26966,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",174,Comoros,ALLAREA,E,G,PERCENT,0.61249,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",174,Comoros,RURAL,E,G,PERCENT,0.63729,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",174,Comoros,URBAN,E,G,PERCENT,0.54865,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",178,Congo,ALLAREA,E,G,PERCENT,8.64709,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",178,Congo,RURAL,E,G,PERCENT,19.92623,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",178,Congo,URBAN,E,G,PERCENT,2.0953,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",184,Cook Islands,ALLAREA,E,G,PERCENT,1.12,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",188,Costa Rica,ALLAREA,E,G,PERCENT,0.42569,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",188,Costa Rica,RURAL,E,G,PERCENT,0.74088,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",188,Costa Rica,URBAN,E,G,PERCENT,0.3015,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",384,Côte d'Ivoire,ALLAREA,E,G,PERCENT,29.70239,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",384,Côte d'Ivoire,RURAL,E,G,PERCENT,50.21153,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",384,Côte d'Ivoire,URBAN,E,G,PERCENT,6.8793,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",191,Croatia,ALLAREA,E,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",191,Croatia,RURAL,E,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",191,Croatia,URBAN,E,G,PERCENT,0.32,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",192,Cuba,ALLAREA,E,G,PERCENT,0.83857,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",192,Cuba,RURAL,E,G,PERCENT,2.1898,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",192,Cuba,URBAN,E,G,PERCENT,0.42572,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",531,Curaçao,ALLAREA,E,G,PERCENT,0.43158,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",196,Cyprus,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",196,Cyprus,RURAL,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",196,Cyprus,URBAN,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",203,Czechia,ALLAREA,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",203,Czechia,RURAL,E,G,PERCENT,0,,,,,,,,,,,,,,,,,,,,,,,
