Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Location,Nature,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",20,Andorra,ALLAREA,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",20,Andorra,RURAL,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",20,Andorra,URBAN,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",24,Angola,ALLAREA,E,G,PERCENT,42.86651,41.41483,39.95439,38.48665,37.01114,35.53137,34.24673,32.95845,31.66558,30.37016,29.07074,27.76785,26.46207,25.15397,23.84309,22.53427,21.22659,19.92074,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",24,Angola,RURAL,E,G,PERCENT,66.71371,66.0164,65.3191,64.62179,63.92449,63.22719,62.52988,61.83258,61.13528,60.43797,59.74067,59.04337,58.34606,57.64876,56.95145,56.25415,55.55685,54.85954,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",24,Angola,URBAN,E,G,PERCENT,19.10217,18.03581,16.96945,15.90309,14.83673,13.77037,12.70401,11.63765,10.57129,9.50493,8.43858,7.37222,6.30586,5.2395,4.17314,3.10678,2.04042,0.97406,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",660,Anguilla,ALLAREA,E,G,PERCENT,2.219,2.09,1.961,1.832,1.703,1.574,1.445,1.316,1.187,1.058,0.929,0.8,0.671,0.542,0.542,0.542,0.542,0.542,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",660,Anguilla,URBAN,E,G,PERCENT,2.219,2.09,1.961,1.832,1.703,1.574,1.445,1.316,1.187,1.058,0.929,0.8,0.671,0.542,0.542,0.542,0.542,0.542,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",28,Antigua and Barbuda,ALLAREA,E,G,PERCENT,1.34545,1.26227,1.17909,1.09591,1.01273,0.92955,0.84638,0.7632,0.68002,0.59684,0.51366,0.43049,0.34731,0.26413,0.26413,0.26413,0.26413,0.26413,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",32,Argentina,ALLAREA,E,G,PERCENT,,,,,,,1.56166,1.63609,1.71097,1.78635,1.86223,1.93949,2.01764,2.09501,2.16573,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",32,Argentina,RURAL,E,G,PERCENT,,,,,,,7.68874,7.68874,7.68874,7.68874,7.68874,7.68874,7.68874,7.68874,7.68874,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",32,Argentina,URBAN,E,G,PERCENT,0.61143,0.61143,0.61143,0.61143,0.70627,0.80112,0.89596,0.99081,1.08565,1.1805,1.27534,1.37019,1.46503,1.55856,1.64453,1.7296,1.7296,1.7296,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",51,Armenia,ALLAREA,E,G,PERCENT,0.06251,0.06223,0.06209,0.06199,0.05646,0.05095,0.04545,0.03997,0.03451,0.02906,0.02363,0.01822,0.01282,0.00744,0.00208,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",51,Armenia,RURAL,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",51,Armenia,URBAN,E,G,PERCENT,0.09666,0.09666,0.09666,0.09666,0.08817,0.07968,0.0712,0.06271,0.05422,0.04573,0.03725,0.02876,0.02027,0.01178,0.0033,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",533,Aruba,ALLAREA,E,G,PERCENT,1.04987,1.08514,1.12042,1.15569,1.19097,1.22624,1.26152,1.29679,1.33206,1.36734,1.40261,1.43789,1.47316,1.47316,1.47316,1.47316,1.47316,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",36,Australia,ALLAREA,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",40,Austria,ALLAREA,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",40,Austria,RURAL,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",40,Austria,URBAN,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",31,Azerbaijan,ALLAREA,E,G,PERCENT,0.14251,0.15212,0.16173,0.17133,0.18091,0.19049,0.20007,0.20963,0.21918,0.22873,0.23824,0.24772,0.25717,0.26659,0.26617,0.15756,0.15649,0.15537,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",31,Azerbaijan,RURAL,E,G,PERCENT,0.20494,0.21594,0.22694,0.23794,0.24894,0.25994,0.27094,0.28193,0.29293,0.30393,0.31493,0.32593,0.33693,0.34793,0.34793,0.34793,0.34793,0.34793,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",31,Azerbaijan,URBAN,E,G,PERCENT,0.08344,0.09223,0.10102,0.10981,0.1186,0.12739,0.13618,0.14497,0.15376,0.16255,0.17134,0.18013,0.18892,0.19771,0.19771,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",44,Bahamas,ALLAREA,E,G,PERCENT,1.13647,1.07558,1.0147,0.95381,0.89293,0.83204,0.77116,0.71027,0.64939,0.5885,0.52762,0.46673,0.40585,0.34497,0.28408,0.2232,0.2232,0.2232,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",48,Bahrain,ALLAREA,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",50,Bangladesh,ALLAREA,E,G,PERCENT,17.68377,16.52019,15.34467,14.18063,13.0286,11.88915,10.76229,9.64848,8.54818,7.4618,6.38949,5.33174,4.28906,3.26172,2.2497,1.25316,0.2721,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",50,Bangladesh,RURAL,E,G,PERCENT,21.53814,20.2159,18.89366,17.57142,16.24918,14.92695,13.60471,12.28247,10.96023,9.63799,8.31576,6.99352,5.67128,4.34904,3.0268,1.70457,0.38233,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",50,Bangladesh,URBAN,E,G,PERCENT,5.19914,4.87845,4.55776,4.23707,3.91639,3.5957,3.27501,2.95432,2.63364,2.31295,1.99226,1.67157,1.35089,1.0302,0.70951,0.38882,0.06813,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",52,Barbados,ALLAREA,E,G,PERCENT,0.70227,0.71136,0.72045,0.72955,0.73864,0.74773,0.75682,0.76591,0.775,0.78409,0.79318,0.80227,0.81136,0.82045,0.82955,0.82955,0.82955,0.8289,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",112,Belarus,ALLAREA,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",112,Belarus,RURAL,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",112,Belarus,URBAN,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",56,Belgium,ALLAREA,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",56,Belgium,RURAL,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",56,Belgium,URBAN,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",84,Belize,ALLAREA,E,G,PERCENT,4.4683,4.25254,4.03666,3.82066,3.60454,3.38831,3.17197,2.9555,2.73893,2.52223,2.30542,2.08813,1.87052,1.65278,1.4351,1.21765,1.00061,0.78418,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",84,Belize,RURAL,E,G,PERCENT,7.13923,6.767,6.39477,6.02254,5.65031,5.27808,4.90585,4.53362,4.16139,3.78916,3.41693,3.0447,2.67247,2.30024,1.92801,1.55578,1.18355,0.81132,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",84,Belize,URBAN,E,G,PERCENT,1.25586,1.22621,1.19656,1.16691,1.13726,1.10761,1.07796,1.04831,1.01865,0.989,0.95935,0.9297,0.90005,0.8704,0.84075,0.8111,0.78145,0.7518,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",204,Benin,ALLAREA,E,G,PERCENT,67.60516,66.83575,66.03411,65.17905,64.32371,63.46909,62.61469,61.76005,60.90566,60.05246,59.19952,58.34683,57.49442,56.64321,55.78996,54.93562,54.0802,53.8315,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",204,Benin,RURAL,E,G,PERCENT,86.00782,85.34553,84.68323,84.02093,83.35864,82.69634,82.03404,81.37174,80.70945,80.04715,79.38485,78.72255,78.06026,77.39796,76.73566,76.07336,75.41107,75.41107,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",204,Benin,URBAN,E,G,PERCENT,38.00048,37.45478,36.90908,36.36339,35.81769,35.27199,34.7263,34.1806,33.6349,33.08921,32.54351,31.99782,31.45212,30.90642,30.36073,29.81503,29.26933,29.26933,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",60,Bermuda,ALLAREA,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",60,Bermuda,URBAN,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",64,Bhutan,ALLAREA,E,G,PERCENT,10.11785,10.03685,9.28342,8.539,7.80395,7.08128,6.38956,5.70481,5.0272,4.35698,3.69419,3.03897,2.39177,1.75254,1.12116,0.49751,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",64,Bhutan,RURAL,E,G,PERCENT,12.05675,12.05675,11.24905,10.44136,9.63367,8.82598,8.01829,7.21059,6.4029,5.59521,4.78752,3.97982,3.17213,2.36444,1.55675,0.74905,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",64,Bhutan,URBAN,E,G,PERCENT,4.42872,4.42872,4.11943,3.81015,3.50086,3.19157,2.88229,2.573,2.26371,1.95443,1.64514,1.33585,1.02657,0.71728,0.40799,0.09871,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",68,Bolivia (Plurinational State of),ALLAREA,E,G,PERCENT,33.04305,31.79599,30.57483,29.36517,28.16231,26.96709,25.77813,24.5967,23.42146,22.25363,21.09274,19.93831,18.7907,17.67093,16.56983,15.47391,14.38275,13.29706,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",68,Bolivia (Plurinational State of),RURAL,E,G,PERCENT,62.23107,60.83355,59.43603,58.0385,56.64098,55.24346,53.84594,52.44842,51.0509,49.65338,48.25585,46.85833,45.46081,44.06329,42.66577,41.26825,39.87073,38.4732,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",68,Bolivia (Plurinational State of),URBAN,E,G,PERCENT,14.99133,14.2288,13.46627,12.70374,11.94121,11.17867,10.41614,9.65361,8.89108,8.12855,7.36602,6.60349,5.84096,5.07842,4.31589,3.55336,2.79083,2.0283,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",535,"Bonaire, Sint Eustatius and Saba",ALLAREA,E,G,PERCENT,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",70,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,0.66104,0.59606,0.53138,0.46701,0.40296,0.33923,0.27581,0.21271,0.14993,0.08747,0.02532,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",70,Bosnia and Herzegovina,RURAL,E,G,PERCENT,0.87296,0.7882,0.70343,0.61867,0.53391,0.44914,0.36438,0.27961,0.19485,0.11009,0.02532,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",70,Bosnia and Herzegovina,URBAN,E,G,PERCENT,0.37296,0.3382,0.30343,0.26867,0.23391,0.19914,0.16438,0.12961,0.09485,0.06009,0.02532,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",72,Botswana,ALLAREA,E,G,PERCENT,21.71463,21.05214,20.52248,20.01521,19.51172,19.01309,18.51821,17.64621,16.79099,15.95621,15.13988,14.34314,13.74245,13.18192,12.63061,12.08874,11.55621,11.03354,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",72,Botswana,RURAL,E,G,PERCENT,42.15451,41.59351,41.03252,40.47153,39.91053,39.34954,38.78855,38.22755,37.66656,37.10557,36.54457,35.98358,35.42259,34.86159,34.3006,33.73961,33.17862,32.61762,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",72,Botswana,URBAN,E,G,PERCENT,3.74742,3.59755,3.44769,3.29783,3.14796,2.9981,2.84824,2.69837,2.54851,2.39865,2.24878,2.09892,1.94906,1.79919,1.64933,1.49947,1.3496,1.19974,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",76,Brazil,ALLAREA,E,G,PERCENT,8.93656,8.38974,7.86306,7.34687,6.84127,6.34604,5.86074,5.38519,4.91922,4.46304,4.01602,3.57661,3.14628,2.72513,2.31256,1.90863,1.5132,1.12597,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",76,Brazil,RURAL,E,G,PERCENT,34.51236,32.90525,31.29814,29.69103,28.08392,26.47681,24.8697,23.26259,21.65548,20.04836,18.44125,16.83414,15.22703,13.61992,12.01281,10.4057,8.79859,7.19148,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",76,Brazil,URBAN,E,G,PERCENT,3.01196,2.84442,2.67688,2.50934,2.34181,2.17427,2.00673,1.83919,1.67165,1.50412,1.33658,1.16904,1.0015,0.83396,0.66642,0.49889,0.33135,0.16381,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",92,British Virgin Islands,ALLAREA,E,G,PERCENT,0.99179,0.9,0.80821,0.71642,0.62462,0.53283,0.44104,0.34925,0.25745,0.16566,0.07387,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",96,Brunei Darussalam,ALLAREA,E,G,PERCENT,,,,,,,,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",100,Bulgaria,ALLAREA,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",100,Bulgaria,RURAL,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",100,Bulgaria,URBAN,E,G,PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",854,Burkina Faso,ALLAREA,E,G,PERCENT,71.39431,70.86676,69.17134,67.47974,65.79058,64.10755,62.42933,60.87045,59.40795,57.9547,56.50968,55.07325,53.64636,52.22933,50.82187,49.4249,48.03875,46.66536,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",854,Burkina Faso,RURAL,E,G,PERCENT,84.91952,84.91952,83.52071,82.1219,80.72309,79.32428,77.92547,76.52665,75.12784,73.72903,72.33022,70.93141,69.5326,68.13379,66.73498,65.33617,63.93736,62.53855,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",854,Burkina Faso,URBAN,E,G,PERCENT,9.12255,9.12255,9.00951,8.89648,8.78344,8.67041,8.55738,8.44434,8.33131,8.21827,8.10524,7.9922,7.87917,7.76614,7.6531,7.54007,7.42703,7.314,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",108,Burundi,ALLAREA,E,G,PERCENT,2.75996,2.7559,2.7514,2.74646,2.74107,2.73522,2.72887,2.72204,2.71466,2.70679,2.69833,2.68928,2.67965,2.66936,2.65844,2.64684,2.63455,2.62152,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",108,Burundi,RURAL,E,G,PERCENT,2.8261,2.83112,2.83615,2.84117,2.8462,2.85122,2.85625,2.86127,2.8663,2.87132,2.87635,2.88137,2.8864,2.89142,2.89645,2.90147,2.9065,2.91152,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",108,Burundi,URBAN,E,G,PERCENT,2.02413,1.94207,1.86001,1.77796,1.6959,1.61384,1.53179,1.44973,1.36768,1.28562,1.20356,1.12151,1.03945,0.95739,0.87534,0.79328,0.71122,0.62917,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",132,Cabo Verde,ALLAREA,E,G,PERCENT,51.00438,49.05003,47.10973,45.18449,43.27354,41.37814,39.49719,37.63155,35.78016,33.94473,32.12731,30.40739,28.69603,26.99344,25.29956,23.6143,21.90794,20.16888,,,,,,,,,,,,,,,,,,,,,,,
